"cod_master","jan_prod","fev_prod","mar_prod","abr_prod","mai_prod","jun_prod","jul_prod"
"10730",1425.91,261.98,5231.43,6627.49,14930.94,5074.75,7415.62
"8243",16024.94,1173.68,6352.97,1354.13,411.27,10447.69,11539.11
"10986",98291.76,82716.30,110776.52,61210.99,51020.17,39101.94,72332.95
"10235",76419.67,36564.43,34869.17,33003.64,21299.21,6967.03,5906.59
"12060",,3935.14,25956.91,30886.03,1010.91,10186.43,855.33
"12298",,,,,,7621.16,4991.89
"11632",29714.90,11349.20,36183.48,5394.52,15982.72,4843.14,4130.56
"7621",28079.60,17392.77,22383.01,20544.49,12387.93,8806.51,16877.28
"11023",2822.45,1953.83,5014.45,1624.67,804.95,3420.16,2684.40
"11093",22987.61,25540.01,46213.01,51658.32,92228.77,58331.98,78494.69
"11374",4789.68,2962.57,1911.92,2900.09,335.18,2058.25,2743.46
"12039",,,9554.67,,,,
"7004",,1543.41,1081.25,1538.03,3632.17,8782.20,5952.35
"0443",,,,,,,
"8026",19773.07,8354.05,28134.73,23462.51,34254.66,23292.57,41444.68
"11749",53786.88,26611.33,48445.88,47567.18,34059.49,28095.35,32442.47
"11938",768.21,2561.79,4095.59,3132.12,2981.93,1517.05,3311.15
"11019",13664.97,11111.61,10414.58,8944.68,5937.60,6466.05,44387.85
"7864",2730.77,13003.52,19664.69,4405.70,21993.35,1972.30,1838.65
"10970",3843.12,4713.66,8187.00,4431.10,8391.57,1856.19,5447.59
"10755",104785.17,43885.40,53229.28,55697.49,37968.90,37700.06,57541.24
"11955",91.57,2344.60,7239.91,7829.97,8109.71,9719.99,11620.11
"10774",3000.29,457.99,907.98,2061.24,1800.24,454.54,288.23
"7319",11741.16,20745.45,21001.30,30457.68,29474.76,15780.26,16658.56
"11623",79077.33,44983.31,60585.20,50335.52,40834.46,38086.19,62372.38
"11136",701.65,1127.90,353.71,2133.62,651.30,490.74,502.47
"7766",,638.77,800.71,2721.54,6860.47,180.11,
"7885",1817.16,,783.72,1550.98,318.71,484.06,123.27
"12391",,,,,,,156839.41
"11708",126612.00,64179.72,122967.27,68467.58,53220.10,82665.78,71114.89
"11072",46011.90,64252.01,46299.87,34983.35,7299.48,140.42,1483.20
"11452",1702.31,5891.62,2701.13,557.63,2754.83,288.97,845.67
"7517",10103.76,6600.85,9216.64,2002.59,1436.34,3322.06,257.63
"11737",,65.76,5594.92,10398.20,7485.79,102.31,3400.81
"11735",,5876.44,49433.96,29980.91,48458.07,34707.46,65982.15
"11053",7528.96,2768.47,435.48,394.74,2562.62,,
"11182",60397.95,39838.57,82158.01,47011.77,47091.58,47792.02,58776.60
"12381",,,,,,,370.92
"11255",244918.16,142929.38,228903.32,224700.66,151340.83,130582.10,135375.43
"7308",95509.48,68467.05,126184.78,100280.32,78101.49,80231.33,125376.58
