"cod_master","mes","produzido","frequencia"
"10158",6,195073.28,1243
"10158",7,165102.66,1149
"10158",12,3208.34,17
"10161",7,28398.34,86
"10167",1,328945.39,1668
"10167",2,135014.75,883
"10167",3,241390.80,1710
"10167",4,90211.63,742
"10167",5,123055.11,914
"10167",6,82526.12,555
"10167",7,168314.81,1231
"10167",12,521.62,4
"10171",1,18172.24,49
"10171",2,10614.70,29
"10171",3,13986.28,44
"10171",4,5236.73,38
"10171",5,4743.71,14
"10171",6,10664.02,53
"10171",7,10211.86,58
"10171",12,273.16,2
"10173",1,249288.90,525
"10173",2,125368.21,333
"10173",3,196519.01,439
"10173",4,95180.63,276
"10173",5,101690.77,233
"10173",6,73791.88,200
"10173",7,84851.49,243
"10174",1,21125.84,106
"10174",2,17388.18,37
"10174",3,15305.05,63
"10174",4,12045.43,60
"10174",5,17373.22,69
"10174",6,10928.40,63
"10174",7,14231.93,71
"10175",2,76.46,1
"10175",4,77.41,1
"10179",3,163.15,2
"10179",4,1591.28,6
"10180",1,4779.89,20
"10180",2,1592.34,11
"10180",3,3607.99,23
"10180",4,1768.96,14
"10180",5,2011.89,17
"10180",6,3581.66,20
"10180",7,2575.95,20
"10181",1,9243.67,20
"10181",2,3704.07,10
"10181",3,7767.44,30
"10181",4,14161.06,16
"10181",5,4906.69,12
"10181",6,2843.53,12
"10181",7,6029.30,21
"10184",1,20449.81,87
"10184",2,11024.50,56
"10184",3,17684.11,67
"10184",4,21340.88,66
"10184",5,14447.87,64
"10184",6,11837.55,58
"10184",7,25527.44,93
"10184",12,121.69,1
"10185",1,5023.26,14
"10185",2,601.13,5
"10185",3,2089.28,6
"10185",4,1197.45,7
"10185",5,1465.83,6
"10185",6,1632.13,11
"10185",7,671.60,3
"10188",1,2503.78,11
"10188",2,360.72,2
"10188",3,3804.91,10
"10188",4,1154.87,4
"10188",5,679.35,5
"10188",6,1180.34,2
"10188",7,138.51,1
"10194",5,1996.77,8
"10200",2,308.79,2
"10200",3,574.27,4
"10200",4,591.38,5
"10200",5,569.76,4
"10200",6,770.97,4
"10200",7,800.72,6
"10211",1,6088.80,9
"10211",2,494.10,4
"10211",3,7825.97,18
"10211",4,1435.37,6
"10211",5,3035.08,14
"10211",6,2083.45,12
"10211",7,3661.34,12
"10212",1,401.53,3
"10212",3,810.53,5
"10212",4,4937.49,5
"10212",5,284.02,2
"10212",6,1982.20,3
"10212",7,338.10,3
"10219",1,252540.48,1063
"10219",2,127731.49,661
"10219",3,222921.23,1120
"10219",4,311035.16,1894
"10219",5,442746.76,2739
"10219",6,470242.90,2969
"10219",7,438829.61,2904
"10219",12,4097.68,23
"10233",1,35965.88,128
"10233",2,8035.71,24
"10233",3,10988.87,45
"10233",4,2346.52,13
"10233",5,8613.30,12
"10233",6,21215.47,65
"10233",7,8698.34,53
"10233",12,1029.41,1
"10235",1,27510.01,45
"10235",2,3661.74,14
"10235",3,10451.83,35
"10235",4,9310.97,42
"10235",5,8145.31,33
"10235",6,3275.50,15
"10235",7,3923.73,17
"10236",1,2084.45,11
"10236",2,110.46,1
"10236",3,1783.45,6
"10236",4,511.56,4
"10236",5,1182.39,7
"10236",6,1792.09,12
"10236",7,3350.47,9
"10242",1,4143.30,5
"10242",2,1995.89,2
"10242",3,1084.31,3
"10242",4,1429.21,2
"10249",2,85.81,1
"10249",3,1904.47,2
"10249",4,313.86,2
"10249",6,83.40,1
"10249",7,606.82,2
"10251",1,7318.68,23
"10251",2,6338.68,8
"10251",3,5258.48,22
"10251",4,1079.93,7
"10251",5,686.84,5
"10253",1,592289.92,1817
"10253",2,237038.83,865
"10253",3,432268.70,1927
"10253",4,389414.81,1794
"10253",5,315564.66,1362
"10253",6,408694.41,1775
"10253",7,429763.77,2040
"10253",12,608.04,2
"1026",1,1019.48,2
"1026",2,51.39,1
"1026",3,507.09,3
"1026",4,183.14,1
"1026",5,330.68,2
"1026",6,80.26,1
"1026",7,957.91,4
"10263",1,16150.36,67
"10263",2,4151.26,32
"10263",3,13782.15,79
"10263",4,16523.08,85
"10263",5,18471.91,52
"10263",6,11947.81,87
"10263",7,12562.31,79
"10264",1,3723.68,5
"10264",2,227.01,2
"10264",3,392.72,4
"10264",4,1430.80,6
"10264",5,416.81,3
"10264",6,1195.87,8
"10264",7,3933.42,22
"10272",1,8620.16,11
"10272",2,436.47,2
"10272",3,3229.43,4
"10272",4,1687.83,2
"10272",5,1088.56,3
