"cod_master","jan_prod","jan_freq","fev_prod","fev_freq","mar_prod","mar_freq","abr_prod","abr_freq","mai_prod","mai_freq","jun_prod","jul_freq","jul_prod"
"0589",4298.21,3,2074.10,5,1560.52,9,95.51,1,1227.74,3,2280.26,6,672.67
"0593",147.03,1,,0,,0,,0,,0,,0,
"0606",7637.68,32,3466.27,13,14246.28,40,9204.34,51,13798.83,47,6500.24,23,12068.03
"0613",255.24,1,,0,,0,238.90,1,249.49,1,,0,228.23
"0620",12965.99,42,15336.02,47,7425.19,47,12221.09,56,12245.73,50,14311.47,63,14612.27
"0653",106187.90,151,92596.28,71,107839.83,143,89785.34,157,80853.41,107,129572.09,137,99027.13
"0666",557.29,3,,0,,0,,0,,0,,0,
"0681",1767.56,5,119.83,1,6034.83,3,750.92,3,982.55,5,,0,1709.16
"0712",776.41,1,491.89,1,2074.09,2,,0,,0,,0,
"0725",3101.77,3,1969.32,4,493.90,2,244.13,1,339.23,2,3696.24,7,685.65
"0726",630.08,3,238.53,2,113.48,1,5278.47,7,1081.42,5,4457.02,3,1073.18
"0731",5568.04,11,2810.92,11,1072.55,6,119.74,1,1889.06,7,2398.30,8,546.94
"0750",,0,,0,,0,2365.28,1,,0,,0,1261.49
"0760",1057.96,1,2236.07,3,977.97,5,771.70,3,153.48,1,,0,1231.82
"0762",926.58,3,,0,646.24,3,810.66,4,,0,,0,383.66
"0763",499.01,3,780.98,4,381.65,3,147.12,1,323.98,3,570.82,4,1059.11
"0777",,0,92.93,1,,0,,0,,0,,0,
"0779",,0,432.13,1,,0,,0,523.71,1,,0,
"0794",253.73,1,,0,613.55,1,,0,,0,,0,
"0805",1520.43,10,3026.38,10,1368.17,10,9286.83,16,811.55,6,1559.37,9,1518.99
"0843",592.34,1,7327.57,4,,0,,0,,0,,0,
"0876",639.13,3,1235.86,1,1282.44,2,2997.92,3,3682.81,7,4376.46,8,1208.92
"0920",28030.75,67,24572.09,29,41027.09,81,19739.11,61,24479.07,65,17243.26,69,32502.70
"0924",4718.48,22,805.15,7,4683.96,26,3665.83,24,3205.57,12,2964.40,19,9502.00
"0925",5116.96,20,5681.92,11,3481.02,21,3754.51,14,2365.43,13,2622.89,14,4332.10
"0932",34874.02,131,16513.80,75,26323.79,133,50659.09,179,38908.94,158,36244.83,164,41747.13
"0940",5095.86,2,4078.44,3,553.70,2,327.72,1,,0,,0,1056.76
"0943",,0,,0,,0,,0,,0,2756.83,1,1733.69
"0951",4427.92,12,1729.27,7,4295.86,10,427.86,1,1993.32,7,6161.37,7,571.11
"0967",14302.62,55,6531.73,28,19867.97,46,9328.66,44,8109.54,50,9396.16,58,7171.58
"0978",,0,,0,,0,,0,,0,2489.83,2,
"0983",161.35,2,,0,278.51,1,292.20,2,1327.86,1,,0,
"0984",,0,,0,,0,,0,63.13,1,85.33,1,72.68
"0988",,0,692.46,1,1956.20,4,561.66,5,1494.78,7,824.62,4,214.77
"10000",,0,,0,,0,,0,,0,,0,1562.25
"10002",37486.47,123,22672.38,82,45446.80,159,26839.89,143,25412.67,140,25287.54,134,33068.51
"10005",3493.00,16,907.27,6,914.92,7,525.25,5,596.45,5,322.50,3,486.77
"10010",564.51,2,,0,151.86,1,,0,,0,,0,
"10016",2262.46,10,1498.14,4,1616.89,10,2236.46,10,2225.88,4,321.87,2,850.46
"10019",12943.72,42,3450.39,10,9574.77,17,13035.49,34,6616.62,28,15743.68,36,4594.51
"10029",291.28,2,97.29,1,106.30,1,876.41,3,4271.68,4,485.68,1,
"10031",6192.92,7,2883.03,6,2566.52,12,1566.32,11,1331.38,9,4130.34,11,2441.02
"10037",486390.74,2572,36509.89,328,17957.25,203,6820.23,89,15922.30,142,2665.54,26,11082.78
"10045",508162.54,2447,7398.38,60,10245.53,89,75902.67,495,3456.22,55,1389.11,18,4171.47
"10046",31789.95,164,16513.60,91,25915.90,175,19564.90,146,24880.20,162,27588.36,179,21392.58
"10047",1599.90,10,1206.48,8,2146.52,13,1718.94,10,491.71,4,595.25,4,4247.85
"10051",139.56,1,,0,2501.07,13,1282.93,15,3591.25,12,1323.97,5,1417.69
"10054",1661.79,2,82.01,1,460.59,1,,0,516.75,3,126.69,1,
"10059",10843.79,29,4541.58,15,2291.14,15,5007.64,20,3672.98,18,2683.55,16,2789.32
"10061",64378.26,242,16794.38,80,47445.81,236,50157.49,236,33573.23,163,10199.43,77,12739.48
"10062",,0,809.23,1,,0,,0,,0,,0,
"10064",1495.39,2,,0,,0,,0,,0,,0,
"10073",50809.75,184,23864.89,126,45117.07,203,31115.67,191,39210.61,177,25145.68,168,29739.39
"10074",13913.16,24,8278.94,29,14717.81,45,22627.11,52,21421.87,32,14596.46,27,8114.82
"10082",,0,,0,,0,126.73,1,1889.66,12,4165.78,29,7374.52
"10086",5413.67,18,2503.39,15,6789.61,37,4639.88,28,1252.23,10,,0,
"10091",149.32,1,,0,,0,,0,3841.64,2,950.57,4,340.66
"10097",68672.81,227,22130.07,85,55642.26,197,42540.00,171,28257.95,132,51798.33,161,
"10099",4022.74,21,1855.72,5,3657.92,14,1457.45,9,2695.75,15,1179.61,10,2023.73
"1010",,0,,0,4752.88,8,344.01,2,2246.40,11,2598.49,12,2285.23
"10103",198.43,1,1038.32,2,282.11,1,2362.50,4,310.19,2,531.82,3,9119.29
"10104",19634.08,63,5993.91,31,11570.59,49,19774.23,46,6888.22,42,14434.47,35,9603.70
"10105",11110.88,26,8904.00,14,6396.47,16,4248.70,19,18341.92,12,8447.42,21,4003.71
"10106",20902.15,52,38917.29,27,37279.13,55,27264.63,58,15742.51,44,15845.03,74,19187.08
"10108",1123.94,3,1949.19,3,1157.60,4,147.51,1,357.21,2,487.84,3,2283.89
"10110",44705.46,154,19939.08,60,14240.67,65,7528.58,37,8001.94,30,5899.30,33,4867.52
"10113",5506.91,10,1702.03,9,5598.36,25,1939.81,14,6951.50,14,2012.50,10,2680.69
"10114",343.27,2,2512.75,4,952.56,4,3784.40,6,1252.70,7,689.56,4,217.89
"10121",10321.28,14,9224.71,11,9038.84,12,2138.25,9,4113.70,8,1660.94,6,1071.86
"10125",3394.85,10,2473.46,9,695.59,5,1901.61,11,,0,247.58,2,861.13
"10130",551.23,3,145.04,1,5855.96,44,38.07,1,,0,2608.46,18,5000.14
"10133",1127.60,6,1422.47,3,,0,356.83,2,1091.97,5,774.54,3,540.08
"10134",16707.20,85,2719.55,18,10375.50,69,12099.94,75,10826.10,53,10871.66,61,18574.02
"10136",,0,38.18,1,,0,,0,231.65,1,,0,
"10138",1644.63,8,121.96,1,930.10,6,1692.84,6,1190.78,3,1377.71,5,2066.21
"10139",1101201.17,4949,508654.19,2709,913829.09,4990,1047261.23,5874,809757.97,4762,1139734.83,6637,1260070.85
"1014",6361.99,24,1908.95,11,7065.08,28,4309.99,22,4387.36,18,4752.27,22,2497.29
"10140",856.58,11,4777.46,36,2714.54,22,4809.79,40,6957.53,32,3180.10,28,1361.75
"10147",25126.25,50,7111.66,27,34021.01,61,5363.14,25,8065.79,33,4347.43,26,8127.43
"10156",9394.57,22,10874.49,9,10137.00,16,3066.85,8,4156.24,6,3551.86,7,5150.27
"10157",363.17,2,,0,,0,232.73,2,181.53,2,101.40,1,237.90
"10158",207516.43,1040,112504.06,745,182533.26,1171,173822.13,1172,178468.17,1073,195073.28,1243,158985.12
"10161",,0,,0,,0,,0,,0,,0,27135.46
"10167",328945.39,1668,135014.75,883,241390.80,1710,90211.63,742,123055.11,914,82526.12,555,156470.02
"10171",18172.24,49,10614.70,29,13986.28,44,5236.73,38,4743.71,14,10664.02,53,9631.23
"10173",249288.90,525,125368.21,333,196519.01,439,95180.63,276,101690.77,233,73791.88,200,73604.94
"10174",21125.84,106,17388.18,37,15305.05,63,12045.43,60,17373.22,69,10928.40,63,13659.45
"10175",,0,76.46,1,,0,77.41,1,,0,,0,
"10179",,0,,0,163.15,2,1591.28,6,,0,,0,
"10180",4779.89,20,1592.34,11,3607.99,23,1768.96,14,2011.89,17,3581.66,20,2471.27
"10181",9243.67,20,3704.07,10,7767.44,30,14161.06,16,4906.69,12,2843.53,12,6029.30
"10184",20449.81,87,11024.50,56,17684.11,67,21340.88,66,14447.87,64,11837.55,58,25527.44
"10185",5023.26,14,601.13,5,2089.28,6,1197.45,7,1465.83,6,1632.13,11,671.60
"10188",2503.78,11,360.72,2,3804.91,10,1154.87,4,679.35,5,1180.34,2,
"10194",,0,,0,,0,,0,1996.77,8,,0,
"10200",,0,308.79,2,574.27,4,591.38,5,569.76,4,770.97,4,800.72
"10211",6088.80,9,494.10,4,7825.97,18,1435.37,6,3035.08,14,2083.45,12,3373.35
"10212",401.53,3,,0,810.53,5,4937.49,5,284.02,2,1982.20,3,338.10
"10219",252540.48,1063,127731.49,661,222921.23,1120,311035.16,1894,442746.76,2739,470242.90,2969,427335.64
"10233",35965.88,128,8035.71,24,10988.87,45,2346.52,13,8613.30,12,21215.47,65,8626.90
